sentence,label_string,label_numeric
Die Belastung durch Steuern und andere Abgaben in unserem Land ist zu hoch.,Behauptung,1
"Wir brauchen daher eine Agenda für die Fleißigen, eine breite Entlastung für die Bevölkerung :",Behauptung,1
"Niedrigere Steuern und Beiträge sorgen zudem für höhere Löhne, mehr Arbeitsplätze , stärkeres Wachstum und sichere Sozialsysteme .",Behauptung,1
Dazu flachen wir den Einkommensteuertarif schrittweise spürbar ab und erhöhen d en Grundfreibetrag.,Keine Behauptung,0
Die Einkommensgrenze für den Spitzensteuersatz erhöhen wir deutlic h. •,Keine Behauptung,0
Unser Ziel für d ie Sozialversicherungsbeiträge : Wir wollen uns wieder auf die  Prozent hinbewegen .,Keine Behauptung,0
Mit einem jährlichen „Sozialstaatstragfähigkeitsbericht“ haben wir die Entwicklung der Sozialkassen fest im Blick und ergreifen erforderliche Maßnahmen .,Keine Behauptung,0
Belastungen durch Inflation verhindern.,Keine Behauptung,0
Steigende Preise dürfen nicht zu höherer Einkommensteuerlast führen.,Behauptung,1
Deshalb passen wir den Einkommensteuertarif regelmäßig an die Inflation an und gleichen so die kalte Progression aus.,Keine Behauptung,0
Dabei berücksichtigen wir auch alle inflationssensiblen Abzugsbeträge.,Keine Behauptung,0
So stärken wir unsere Leistungsträger im ländlichen Raum.,Behauptung,1
Wir stellen Überstunden zuschläge bei Vollzeitbeschäftigung steue rfrei.,Keine Behauptung,0
"Wer freiwillig mehr arbeiten will, soll mehr Netto vom Brutto haben.",Keine Behauptung,0
Schnelle Entlastungen in Krisen ermöglichen.,Keine Behauptung,0
"Wir setzen uns in Europa dafür ein, dass in angespannter Lage die Energie und Umsatzsteuer für Güter des täglichen Bedarfs schnell und ohne langwierige Genehmigung reduziert werden dürfen.",Keine Behauptung,0
"Unser Arbeitsrecht ist in die Jahre gekommen, eine Modernisierung mehr als überfällig.",Behauptung,1
"Wir müssen die Veränderungen in einer modernen, digitalen Arbeitswelt berücksichtigen und insbesondere die Entwicklungen hin zu einer flexibleren Arbeitszeitgestaltung a ufgreifen.",Behauptung,1
Wir reformieren das Arbeitszeitgesetz und legen für alle Unternehmen anstelle der täglichen eine wöchentliche Höchstarbeitszeit im Sinne der europäischen Arbeitszeitrichtlinie fest.,Keine Behauptung,0
Hohe Standards beim Arbeitsschutz wahren .,Keine Behauptung,0
Das gilt vor allem bei gefahrgeneigten Berufen.,Keine Behauptung,0
"Hier berücksichtigen wir die besonderen Schutzerfordernisse, weil das Unfallrisiko nach acht Stunden steigt.",Keine Behauptung,0
Rechtssicher mobil und im Homeoffice arbeiten.,Keine Behauptung,0
Wir gestalten die Vorgaben für mobile Arbeitsplätze praxisnäher.,Keine Behauptung,0
"Gleichzeitig stellen wir klar, dass mobiles Arbeiten an frei gewählten Orten nicht in den Anwendungsbereich der Arbeitsstättenverordnung fällt.",Keine Behauptung,0
Auch für das Homeoffice schaffen wir Rechtssich erheit und fördern damit mobile Arbeitsformen:,Keine Behauptung,0
"Sofern freiwillig gewählt, definieren wir es unabhängig vom zeitlichen Umfang als einen Unterfall des mobilen Arbeitens.",Keine Behauptung,0
In Europa mobil arbeiten.,Keine Behauptung,0
Das grenzüberschreitende mobile Arbeiten innerhalb der EU muss sowohl für Arbeitnehmerinnen und Arbeitnehmer als auch für Arbeitgeberinnen und Arbeitgeber rechtssicher und möglichst flexibel werden.,Behauptung,1
• Personalpartnerschaften erleichtern und rechtssicherer machen.,Keine Behauptung,0
So können sich zwei Unternehmen im Rahmen einer Kooperation freie Personalkapazitäten mit Zustimmung der Betriebsräte untereinander zur Verfügung stellen.,Keine Behauptung,0
Arbeits und Fachkräfte gewinnen,Keine Behauptung,0
Der Arbeits und Fachkräftemangel bremst unsere wirtschaftliche Entwicklung.,Behauptung,1
Aus demografischen Gründen verschärft er sich weiter und wird zu einem echten Standortrisiko.,Behauptung,1
"Eigentlich könnten die Unternehmen mehr produzieren, doch dafür fehlt das Personal.",Behauptung,1
Mit einer Fachkräfteoffensive bekämpfen wir das Problem und sorgen für mehr Produktivität.,Keine Behauptung,0
Für ausländische Fachkräfte wollen wir ein attraktiver Standort sein und lebenswerte Heimat werden.,Keine Behauptung,0
Hürden aus dem Weg räumen.,Keine Behauptung,0
Vor allem Frauen in Teilzeit sind eine Gruppe mit großem Potenzial für den Arbeitsmarkt .,Behauptung,1
Es braucht bessere Rahmenbedingungen für Vollzeit arbeit oder vollzeitnahe Arbeit .,Behauptung,1
Haushaltsnahe Dienstleistungen stärken .,Keine Behauptung,0
Wir verbessern die steuerliche Absetzbarkeit haushaltsnaher Dienstleistungen.,Keine Behauptung,0
Menschen in Helfertätigkeiten fördern wir auf ihrem Weg zu einer qualifizierten Fachkraft und entwickeln Anreize zum Erwerb beruflicher Qualifikationen.,Keine Behauptung,0
Vorbeschäftigungsverbot nach dem Erreichen der Regelaltersgrenze abschaffen .,Keine Behauptung,0
Ausländische Fachkräfte gewinnen.,Keine Behauptung,0
Dabei ist eine gute Qualifikation von zentraler Bedeutung.,Keine Behauptung,0
So kann dauerhafte Beschäftigung erreicht werden.,Behauptung,1
Den Fokus legen wir auf die vereinfachte und beschleunigte Anerkennung ausländischer Berufsqualifikationen.,Keine Behauptung,0
Schnellere und digitale Prozesse für Erwerbszuwanderer.,Keine Behauptung,0
Dazu richten wir eine digitale Bundesagentur für Einwanderung („Work -and -Stay -Agentur“) ein.,Keine Behauptung,0
Fachkräfte erhalten so Service aus einer Hand: von der Anwerbung und Arbeitsplatzvermittlung über die Prüfung der Einreise voraussetzungen und Visavergabe bis hin zum Aufenthaltstitel .,Keine Behauptung,0
Wir trennen die Asylverfahren von den Verfahren zur Einwanderung in den Arbeitsmarkt.,Keine Behauptung,0
Unser Plan: Steuerlast verringern.,Keine Behauptung,0
Bürokratie spürbar abbauen.,Keine Behauptung,0
Resilienz der Wirtschaft stärken.,Keine Behauptung,0
Freien Handel und Exporte unterstützen.,Keine Behauptung,0
Deutschland ist für Unternehmen ein Hochsteuerland.,Keine Behauptung,0
Ein erfolgreicher und gefragter Wirtschaftsstandort muss auch bei der Steuerbelastung wettbewerbsfähig sein.,Behauptung,1
"So ermöglichen wir höhere Löhne, mehr Arbeitsplätze und mehr Wachstum.",Behauptung,1
"Und so schaffen wir die Grundlage dafür , dass unsere Städte und Gemeinden eine verlässliche und auskömmliche Finanzausstattung haben und die unterschiedlichen Herausforderungen vor Ort aus eigener Kraft meistern können.",Behauptung,1
"Unser Ziel ist eine attraktive Unternehmens besteuer ung von maximal  Prozent auf einbehaltene Gewinne , die wir schrittweise umsetzen wollen .",Keine Behauptung,0
Dazu senken wir insbesondere die Tarifbelastung und verbessern wesentlich das Optionsmodell und die Thesaurierungsbegünstigung.,Keine Behauptung,0
"Bei den bestehenden Steuersystemen für Kapitalgesellschaften und Personengesellschaften schaffen wir mehr Wahlrechte , Einheitlichkeit und Durchlässigkeit.",Keine Behauptung,0
Weg mit dem Rest -Soli.,Keine Behauptung,0
Wir schaffen den restlichen Solidaritätszuschlag ab.,Keine Behauptung,0
"Er hat seine Aufgabe längst erfüllt, ist fast  Jahre nach der Wiedervereinigung nicht mehr zu rechtfertigen und belastet Unternehmen, Fachkräfte und Sparer.",Behauptung,1
Dazu weiten wir den Verlustrücktr ag aus und schaffen die Beschränkung des Verlustvortrags durch die Mindestbesteuerung ab.,Keine Behauptung,0
Mit Abschreibungen neue Impulse geben.,Keine Behauptung,0
Dazu fassen wir die AfA -Tabellen neu und aktualisieren die Abschreibungsdauern.,Keine Behauptung,0
Unser Ziel sind digitalisierte Tabellen mit den betriebsgewöhnlichen Nutzungsdauern.,Keine Behauptung,0
Wir wollen Turboabschreibungen für einen schnellen Wachstumsimpuls .,Keine Behauptung,0
Auch die nächste Generation soll ein Unternehmen weiterführen können.,Keine Behauptung,0
Deshalb belasten wir Familienunternehmen in der Erbfolge nicht in der Substanz und vereinfachen Unternehmensnachfolgen.,Keine Behauptung,0
• Gastro -Steuer runter.,Keine Behauptung,0
Wir reduzieren die Umsatzsteuer auf Speisen in der Gastronomie auf sieben Prozent.,Keine Behauptung,0
Bürokratie spürbar abbauen,Keine Behauptung,0
"Dokumentations und Meldepflichten, mangelnde Flexibilität, lange Verfahren sowie Vollzugsprobleme in Behörden :",Behauptung,1
"Das kostet unnötig Geld, Zeit, Nerven und Personal, gerade im Mittelstand.",Behauptung,1
"Schlimmer noch: Unternehmen und alle, die anpacken wollen, verlieren den Mut für Neues.",Behauptung,1
"Bürokratieabbau, das heißt in Wahrheit „Freiheit zurückgeben “.",Behauptung,1
Wir wollen eine Kultur des Machens und nicht der Fehlervermeidung.,Keine Behauptung,0
"Früher waren wir stolz, wie schnell in Deutschland Dinge funktionierten.",Behauptung,1
Unser Land vom Bürokratiewahnsinn heilen .,Keine Behauptung,0
"Wir beschließen Jahresgesetze zum Bürokratieabbau als echte Entrümpelungsgesetze und stärken die Bürokratiebremse („One in, two out“).",Keine Behauptung,0
"Wo sinnvoll möglich, geben wir Gesetzen und Regelungen ein Verfallsdatum.",Keine Behauptung,0
"Wir wollen genau wissen , wo der Schuh drückt:",Keine Behauptung,0
Deshalb machen wir mehr Bürokratie Checks in enger Zusammenarbeit mit den betroffenen Unternehmen.,Keine Behauptung,0
Wir holen den Nationalen Normenkontrollrat (NKR) sowie die Zuständigkeit für Bürokratieabbau und bessere Rechtsetzung zurück in das Bundeskanzleramt.,Keine Behauptung,0
"Für einen echten Mehrwehrt stellen wir ihn schlagkräftiger auf und straffen die Strukturen , auch damit der NKR verschärft untergesetzliche Vorschriften in den Blick nehmen kann.",Keine Behauptung,0
Belastung en sofort stoppen .,Keine Behauptung,0
Das deutsche Lieferkettengesetz schaffen wir ab.,Keine Behauptung,0
"In Europa wollen wir Belastungen einen Riegel vorschieben , etwa der Regulierung für nachhaltige Investitionen (Taxonomie) oder der Nachhaltigkeitsberichterstattung (Corporate Sustainability Reporting).",Keine Behauptung,0
"Weil wir den Menschen grundsätzlich vertrauen, wollen wir zur vertrauensbasierten Gesetzgebung zurückkommen .",Keine Behauptung,0
"Daher werden wir ein „EU-Forechecking “ einführen, um in Brüssel viel früher, strategischer und erfolgreicher bei europäischen Rechtsakten mitzuwirken.",Keine Behauptung,0
"Mit einem Gesetz gegen Draufsatteln – „Anti -Gold -Plating Gesetz“ – nehmen wir Regelungen zurück, die über europäisches Recht hinausgehen, und unterbinden künftig jegliche Übererfüllung.",Keine Behauptung,0
Parallelregulierungen auf europäischer und nationaler Ebene lehnen wir ab.,Keine Behauptung,0
"Wir kehren in Handwerk, Einzelhandel, Gastronomie oder Hotellerie bei Dokumentationspflichten die Beweislast um und ersetzen die regelmäßigen Nachweise durch ein Anzeigerecht von Verstößen.",Keine Behauptung,0
"Wir reduzieren Statistikpflichten, Datenerhebungen und Meldungen durch ein Verweisungsrecht für Unternehmen.",Keine Behauptung,0
Dafür muss die Behördenkommunikation über bereits vorliegende Daten besser werden.,Behauptung,1
Auch Doppelstrukturen bei den Statistikämtern müssen konsequent abgebaut werden .,Behauptung,1
Schriftform im Arbeitsrecht lockern.,Keine Behauptung,0
Wir stellen alle noch bestehenden arbeitsrechtlichen Erfordernisse der Niederschrift auf Papier mit eigenhändiger Unterschrift und persönlicher oder postalischer Übergabe auf den Prüfstand.,Keine Behauptung,0
"Nur dort, wo es zwingend ist, soll die Schriftform beibehalten werden, zum Beispiel bei Kündigungen und branchenspezifischer Schutzbedürftigkeit.",Behauptung,1
"Wir machen uns dafür stark, dass insbesondere das Verfahren zur grenzüberschreitenden Entsendung von Erwerbstätigen in das EU -Ausland vereinfacht und digitalisiert wird (A1 -Bescheinigung, Melde und Registrierungsverfahren).",Keine Behauptung,0
"• Rechtssicherheit schaffen, Scheinselb ständigkeit verhindern.",Keine Behauptung,0
Wir passen das Statusfeststellungsverfahren im Sinne der Selb ständigen und Unternehmen an .,Keine Behauptung,0
Schluss mit immer mehr Betriebsb eauftragten.,Keine Behauptung,0
"Die Pflicht zur Bestellung von Betriebsbeauftragten – zum Beispiel für Abfall , Brandschutz oder Sicherheit – belastet kleine und mittlere Unternehmen sehr.",Behauptung,1
"Wir befreien sie davon und vereinheitlichen die Schwellenwerte, ab denen Beauftragte berufen werden müssen.",Keine Behauptung,0
Auch die Steuerbürokratie nimmt zu und ist eine große Belastung – für die Bürgerinnen und Bürger genauso wie für die Unternehmen.,Behauptung,1
Wir misten bei den Vorschriften aus und schaffen ein einfacheres Steuerrecht.,Keine Behauptung,0
Unternehmen den Alltag erleichtern .,Keine Behauptung,0
Die Aufbewahrungsfrist für Buchungsbelege im Handels und Steuerrecht verkürzen wir einheitlich von acht auf fünf Jahre.,Keine Behauptung,0
"Das setzt voraus, dass die Betriebsprüfungen zügiger erfolgen sowie stärker automatisier t und deutlich beschleunig t werden .",Keine Behauptung,0
Das erhöht auch die Rechtssicherheit und verbessert die Wettbewerbsbedingungen.,Behauptung,1
Steuererklärungspflichten für Rentner und Pensionäre vereinfachen.,Keine Behauptung,0
"Wir führen einen Quellenabzug ein, damit im Regelfall keine Steuererklärung mehr abge geben werden muss.",Keine Behauptung,0
Doppelbesteuerung von Renten vermeiden wir.,Keine Behauptung,0
Wir treiben die Selbstveranlagung und den digitalen Datenaustausch mit der Finanzverwaltung voran.,Keine Behauptung,0
Unser Ziel ist eine vollautomatisierte Veranlagung.,Keine Behauptung,0
Mit mehr Pauschalierungen und Typisierungen vereinfachen wir insbesondere das Einkommensteuerrecht.,Behauptung,1
Spielräume des EU -Rechts nutzen.,Keine Behauptung,0
"Wir führen das Verrechnungsmodell bei der Einfuhrumsatzsteuer ein, um Bürokratie und Liquiditätsbelastung möglichst gering zu halten.",Keine Behauptung,0
Steuergesetze l esen und verstehen.,Keine Behauptung,0
"Sie müssen für Bürger, Unternehmen und Verwaltung verständlicher werden.",Behauptung,1
"Dazu vereinfachen wir vor allem die Gesetzessprache und streichen veraltete Vorschriften, die nicht mehr angewendet werden.",Keine Behauptung,0
"Konsequente Digitalisierung, bessere Kontrolle.",Keine Behauptung,0
Wir digitalisieren und automatisieren Besteuerungsverfahren und stellen KI -Technologie bereit.,Keine Behauptung,0
"Das hilft Finanzbehörden auch dabei, Steuerpflichten zu kontrollieren und Steuerbetrug wirksam zu bekämpfen.",Behauptung,1
Resilienz der Wirtschaft stärken Geoökonomische Herausforderungen und Krisen nehmen zu ;,Behauptung,1
sie sind ein ernstes Problem für unsere Wirtschaft.,Behauptung,1
Wir müssen die Resilienz unserer Wirtschaft stärken und ihr Rechts und Planungssicherheit geben.,Behauptung,1
"Das geht nur gemeinsam mit unseren Partnern in Europa, das geht nur mit einem starken Binnenmarkt.",Behauptung,1
"Genau wie die Sicherheitspolitik ist die Wirtschaftspolitik auch gefragt, Antworten auf Übernahmen durch Systemkonkurrenten oder Cyberangriffe zu finden, die ganze Unternehmen und Lieferketten lahmlegen.",Keine Behauptung,0
„Grundgesetz der Sozialen Marktwirtschaft“ rechtssicher machen.,Keine Behauptung,0
Wir binden die wettbewerbsrechtlichen Befugnisse des Bundeskartellamts zum Markteingriff wieder an einen Rechtsverstoß.,Keine Behauptung,0
Einen Generalverdacht gegenüber der Wirtschaft lehnen wir entschieden ab.,Keine Behauptung,0
Fairer Wettbewerb in Europa.,Keine Behauptung,0
"Wir setzen uns für ein modernes Kartell und Wettbewerbsrecht ein, das den globalen Markt als Maßstab zugrunde legt .",Keine Behauptung,0
Missbrauchskontrolle starker Abnehmer verbessern.,Keine Behauptung,0
Wir stärken d en Schutz von Erzeugern und Lieferanten vor unlauteren Handelspraktiken .,Keine Behauptung,0
"Wir führen wirkungsvolle Instrumente zur Krisenbewältigung und gegen Subventionen ein, die den weltweiten Wettbewerb verzerren.",Keine Behauptung,0
Rechte an geistigem Eigentum konsequent durchsetzen.,Keine Behauptung,0
Wir legen den Fokus auf die Bekämpfung der Produkt und Markenpiraterie sowie die Produktsicherheit .,Keine Behauptung,0
So stärken wir die Innovations und Schöpfungskraft der deutschen Wirtschaft.,Behauptung,1
"Wir schützen sicherheitsrelevante Technologien, kritische Infrastrukturen und Unternehmen vor Übernahmen durch systemische Rivalen.",Keine Behauptung,0
"Wir sorgen dafür, dass insbesondere der Mittelstand besser informiert und sensibilisiert ist.",Keine Behauptung,0
"Wegen ihrer Innovations und Wirtschaftskraft sind mittelständische Unternehmen begehrte Angriffsziele internationaler Konkurrenten, fremder Nachrichtendienste und Krimineller.",Behauptung,1
Für die Cybermaßnahmen kleine r und mittlere r Unternehmen schaffen wir steuerliche Anreize und günstige Finanzierungen.,Keine Behauptung,0
"Unser Ziel ist , dass Deutschland Weltmarktführer für sichere IT -Lösungen und attraktiver Standort für innovative Unternehmen der Cybersicherheit wird.",Keine Behauptung,0
Freien Handel und Exporte unterstützen,Keine Behauptung,0
Trotzdem bleibt Deutschland eine Exportwirtschaft.,Behauptung,1
Jeder vierte Arbeitsplatz hängt am Export – und ein Großteil unseres Wohlstands.,Behauptung,1
"Aber: D er Welthandel schwächelt, Protektionismus und unlautere Handelspraktiken nehmen zu, Lieferengpässe und steigende Rohstoffpreise werden zur Belastung für Unternehmen .",Behauptung,1
"Unser Kompass bleibt: Wir unterstützen den freien Handel, damit wir wieder aufholen und Arbeitsplätze sichern .",Keine Behauptung,0
Dabei puffern wir die internationalen und globalen Risiken besser ab .,Keine Behauptung,0
Aus Deutschland muss eine resiliente Exportwirtschaft werden.,Behauptung,1
"Wir sorgen dafür, dass sich unsere internationale Zusammenarbeit gezielt an den strategischen Wirtschaftsinteressen Deutschlands orientiert.",Keine Behauptung,0
Außenwirtschaftsförderung und Entwicklungszusammenarbeit verzahnen wir dazu besser .,Keine Behauptung,0
"Wir setzen uns auch in der Organisation für wirtschaftliche Zusammenarbeit und Entwicklung dafür ein, dass die deutsche Wirtschaft deutlich stärker von staatlich finanzierten Entwicklungsprojekten profitiert.",Keine Behauptung,0
Wir schließen neue Energie und Rohstoffpartnerschaften und setzen uns auf europäischer Ebene für pragmatische Handelsabkommen ein.,Keine Behauptung,0
Fair handeln statt abschotten.,Keine Behauptung,0
"Bei marktverzerrenden Subventionen und Exportbeihilfen setzen wir auf das EU -Antisubventionsverfahren und einen wirksamen, international anerkannten Streitschlichtungsmechanismus bei der Welthandelsorganisation.",Keine Behauptung,0
Grundsätzlich sind Zölle nicht der richtige Weg.,Behauptung,1
Globaler Handel funktioniert nur auf der Basis gleicher Rechte und Pflichten.,Behauptung,1
Deshalb folgen wir dem Grundsatz der Gegenseitigkeit (Reziprozität).,Keine Behauptung,0
Exportorientierte Unternehmen brauchen guten Zugang zu Kapital und staatliche Garantien zur Risikoabsicherung.,Behauptung,1
Wir machen die neuen klimapolitischen Sektorleitlinien für Garantien rückgängig.,Keine Behauptung,0
"Eine Unterscheidung in gute und in weniger gute, in gewünschte und weniger gewünschte Wirtschaftstätigkeit deutscher Unternehmen im Ausland lehnen wir ab.",Keine Behauptung,0
Außenhandel nicht unnötig behindern.,Keine Behauptung,0
Dazu beschleunigen wir Ausfuhrgenehmigungen deutlich.,Keine Behauptung,0
Mercosur ist ausverhandelt und muss jetzt zügig in Kraft treten .,Keine Behauptung,0
Dabei haben wir die Sicherstellung fairer Wettbewerbsbedingungen zum Schutz unserer Landwirtschaft besonders im Blick.,Keine Behauptung,0
"Wir unterstützen in der EU neue Abkommen mit Indien und den ASEAN -Staaten und vertiefen Partnerschaften insbesondere mit den USA für einen umfassenden transatlantischen Wirtschafts -, Handels und Zukunftsraum.",Keine Behauptung,0
"Wir wollen an engen Wirtschaftsbeziehungen zu China festhalten, sofern sie auf dem Prinzip der Gegenseitigkeit beruhen.",Keine Behauptung,0
"Zugleich werden wir kritische wirtschaftliche Abhängigkeiten verringern, etwa durch die stärkere Diversifizierung von Absatzmärkten, Rohstoff quellen und Lieferketten sowie den Schutz kritischer Infrastruktur und sicherheitsrelevanter Technologie.",Keine Behauptung,0
"Abhängigkeiten verringern , heißt s ouveräner werden.",Behauptung,1
Die Produktion von Halbleitern und Batteriezellen in Europa muss stark angekurbelt werden.,Behauptung,1
Dazu füllen wir das Europäische Chipgesetz zügig mit Leben und nutzen die Europäische Halbleiterallianz,Keine Behauptung,0
Innovationen „Made in Germany“.,Keine Behauptung,0
"Gerade in Afrika , aber auch im gesamten globalen Süden und im asiatisch -pazifischen Raum, wollen wir Wirtschaftsbeziehungen intensivieren, auch um das Feld nicht China und Russland zu überlassen.",Keine Behauptung,0
"Deshalb ist es in unserem Interesse, die Afrikanische Union und andere regionale Zusammenschlüsse dauerhaft zu stärken.",Keine Behauptung,0
Mit Blick auf Klimaschutz durch Zukunftstechnologien biete n sich für Technologien aus Deutschland große Chancen.,Behauptung,1
Deshalb unterstützen wir Wirtschaftswachstum auf dem afrikanischen Kontinent und die afrikanische Freihandelszone.,Keine Behauptung,0
"Wir sichern die Versorgung auch durch einen verantwortungsvollen, heimischen Abbau.",Behauptung,1
Zudem verstehen wir die aus Recycling entstandenen Wertstoffe als Rohstoffe .,Keine Behauptung,0
Sie erfüllen die höchsten Ansprüche und sind zugleich nachhaltig.,Keine Behauptung,0
"Wir reizen das privatwirtschaftliche, nicht -spekulative Anlegen von Vorräten durch eine Rohstoffbevorratungsrücklage an.",Keine Behauptung,0
"Ja zu bezahlbarer, sicherer und sauberer Energie",Keine Behauptung,0
Unser Plan: Für bezahlbare Energie sorgen.,Keine Behauptung,0
Für bezahlbare Energie sorgen,Keine Behauptung,0
Die Energiekrise hat unser Land verändert.,Behauptung,1
Höhere Preise bei steigendem Energiebedarf verunsichern Millionen von Menschen sowie Unternehmen gleichermaßen.,Behauptung,1
Die Politik darf die Augen vor der Realität nicht verschließen.,Behauptung,1
"Für uns ist klar: Energie muss bezahl bar, sicher und sauber sein.",Behauptung,1
"Alle Kostentreiber müssen auf den Prüfstand , gleichzeitig ist Energieeffizienz wichtig .",Behauptung,1
"Dafür treten wir ein, im engen Schulterschluss in der EU und mit unseren internationalen Partnern.",Keine Behauptung,0
Ideologiefrei und technologieoffen zu bezahlbarer Energie.,Keine Behauptung,0
"Wir bringen alle Kapazitäten ans Netz, die klimafreundlich und systemdienlich sind, angefangen bei einem zielgerichteten weiteren Ausbau der Erneuerbaren Energien.",Keine Behauptung,0
"Wir nutzen die Erneuerbaren konsequent, und zwar alle: Windenergie an Land und auf See, Solarenergie, Geothermie, Wasserkraft , Bioenergie und de n nachwachsende n Rohstoff Holz .",Keine Behauptung,0
Die Potenziale der Kraft Wärme -Kopplung müssen konsequent genutzt werden.,Behauptung,1
"Wir erhöhen die Versorgungssicherheit durch eine pragmatische Kraftwerkstrategie, die einen technologieoffenen Kapazitätsmarkt etabliert und damit wettbewerblich für Absicherung der gesicherten Leistung sorgt.",Keine Behauptung,0
"Wir setzen ein Strommarktdesign um, das die neuen Realitäten anerkennt und die notwendigen Investitionen absichert.",Keine Behauptung,0
Für mehr Preisstabilität entwickeln wir die Terminmärkte weiter.,Keine Behauptung,0
Versorgungsunternehmen müssen ihre Lieferverträge besser und preisgünstiger absichern können.,Keine Behauptung,0
• Infrastruktur ganzheitlich denken.,Keine Behauptung,0
"Ein besonderes Augenmerk legen wir auf den integrierten und grenzüberschreitenden Netzausbau sowie auf eine effiziente Verknüpfung des Ausbaus von Erneuerbaren Energien , Netzen und Speichern .",Keine Behauptung,0
Dafür wollen wir mehr privates Kapital gewinnen.,Keine Behauptung,0
Für einen schnellen und günstigen Ausbau von Stromnetzen nutzen wir verstärkt Freileitungen.,Keine Behauptung,0
"Bei Strom -, Wärme -, Gas -, Wasserstoff und CO2 -Infrastruktur setzen wir auf Standardisierung und gemeinsamen Ausbau.",Keine Behauptung,0
Wir stehen zum Kohlekompromiss und zum vereinbarten Kohleausstieg.,Keine Behauptung,0
"Auf dem Weg darf es kein weiteres endgültiges Abschalten von Kohlekraftwerken geben, solange als Ersatz keine neuen Gaskraftwerke und Kraft -Wärme Kopplung s-Anlagen gebaut sind.",Behauptung,1
Die Zusagen aus dem Strukturstärkungsgesetz und die Vereinbarungen zwischen dem Bund und den betroffenen Ländern halten wir ein.,Keine Behauptung,0
Option Kern energie .,Keine Behauptung,0
Gerade auch mit Blick auf die Klimaziele und die Versorgungssicherheit hat diese eine bedeutende Rolle.,Behauptung,1
"Dabei setzen wir auf die Forschung zu Kernenergie der vierten und fünften Generation , Small Modular Reactors und Fusionskraftwerke n.",Keine Behauptung,0
"Gleichzeitig streben wir schnellstmöglich eine fachliche Bestandsaufnahme an, ob angesichts des jeweiligen Rückbau stadiums eine Wiederaufnahme des Betriebs der zuletzt abgeschalteten Kernkraftwerke unter vertretbarem technischem und finanziellem Aufwand noch möglich ist .",Keine Behauptung,0
• Echte Europäische Energieunion.,Keine Behauptung,0
Ein echter europäischer Energiebinnenmarkt schafft Resilienz und ist mit mehr Angebot gut für die Verbraucher .,Behauptung,1
Für notwendige Energieimporte und -exporte mobilisieren wir europäische Potenziale und intensivieren internationale Partnerschaften.,Behauptung,1
Bei den Steuern und anderen Abgaben auf Energie nutzen wir Entlastungss pielräume.,Keine Behauptung,0
Wir senken die Stromsteuer für alle und reduzieren die Netzentgelte .,Keine Behauptung,0
Verbraucher sollen flexibler auf den Strompreis reagieren können.,Keine Behauptung,0
Dazu muss die Stromnutzung durch Smart Meter und Digitalisierung intelligenter werden.,Behauptung,1
So erreichen wir eine bessere Lastverteilung.,Behauptung,1
So sinken Verbrauch und Kosten .,Behauptung,1
• Netzentgelte neu regeln.,Keine Behauptung,0
Wir sprechen uns für die Beibehaltung einer Stromgebotszone und einen entschlossenen Netzausbau aus.,Keine Behauptung,0
Statt unterschiedlicher Strompreiszonen muss der Strom für alle in Deutschland günstiger werden.,Behauptung,1
Mit einer Reform der Netzentgelte sinkt die Belastung und steigt die Akzeptanz.,Behauptung,1
"Eine zusätzliche Netzentgeltbelastung für industrielle Großverbraucher, die nicht flexibel produzieren können, lehnen wir ab.",Keine Behauptung,0
Heizungsgesetz der Ampel zurücknehmen.,Keine Behauptung,0
Die Menschen brauchen Entscheidungsfreiheit.,Behauptung,1
"Sie wissen am besten, welche Heizungsart zu ihrem Wohneigentum und zu ihrem Geldbeutel passt.",Behauptung,1
"Es geht uns darum, technologieoffen emissionsarme Wärmelösungen zu fördern und zu nutzen.",Keine Behauptung,0
Dazu gehört für uns auch d as Heizen mit dem nachwachsenden Rohstoff Holz.,Keine Behauptung,0
Das Heizungsgesetz der Ampel schaffen wir ab.,Keine Behauptung,0
Verlässliche Dekarbonisierung im Gebäudebereich.,Keine Behauptung,0
"Dabei setzen wir auf CO2 -Bepreisung mit sozialem Ausgleich, verlässliche Förderung und technologieoffene Lösungen.",Keine Behauptung,0
So berücksichtigen wir unterschiedliche Gegebenheiten im Bestand.,Behauptung,1
"Wir setzen auf Pioniermärkte, mit denen über Quoten für Grüngas im Gasnetz, Grün -Heizöl oder beispielsweise klimaneutralen Stahl ein effizienter Markthochlauf gelingen kann.",Keine Behauptung,0
"So entscheidet nicht der Staat durch Förderung, wer am Markt teilnehmen darf.",Keine Behauptung,0
Auf diesen neuen Märkten setzen sich die besten Anbieter durch.,Behauptung,1
Unsere Energieforschung ist weltweit Spitze.,Behauptung,1
Wir setzen auf Zukunftstechnologien „Made in Germany“.,Keine Behauptung,0
"Wir starten eine Offensive für Energieinnovationen, die Wachstum und Wohlstand schafft und Vorbild für andere Länder ist.",Keine Behauptung,0
• Energ etisch voran.,Keine Behauptung,0
Für klimafreundliche Energie stellen wir eine technologieoffene Energieforschung sicher.,Keine Behauptung,0
Forschungskooperationen bauen wir auch über die Energieunion hinaus aus.,Keine Behauptung,0
